Columns,Question,Options,OptionsSet2,Response,Question type
Respondent_Serial,Respondents,Respondent,,,Single punch
S2,Age,Age,,,Single punch
S3,Gender,Gender,,123,
HHI,Household Income,Household Income,,"1,2,3,4,5,6,7,8,9,10,11,12,13",Single punch
S51,Critical industry,"Mass media (TV Station, Press, Radio)",,1,Multi punch
S52,Critical industry,Marketing research / Consulting,,2,Multi punch
S53,Critical industry,Advertising / Public Relations,,3,Multi punch
S54,Critical industry,Manufacturer / Distributor / Retailer of alcoholic or non-alcoholic beverages,,4,Multi punch
S55,Critical industry,Financial industry,,5,Multi punch
S56,Critical industry,Bar / Pub / Restaurant,,6,Multi punch
S57,Critical industry,None of these,,7,Multi punch
S6,Ethinicity,Ethinicity,,1,Multi punch
S7,Survey Day,What day is it today?,,"1,2,3,4,5,6,7",Single punch
S8_Beer,"In the past 30 days, did you drink…? ",Beer,,1,Multi punch
S8_Wineany,"In the past 30 days, did you drink…? ","Wine (any type red, white, rosé) or Champagne",,2,Multi punch
S8_HardCider,"In the past 30 days, did you drink…? ",Hard Cider,,3,Multi punch
S8_ReadytoDrink,"In the past 30 days, did you drink…? ","Ready to Drink / Premixed Alcoholic Beverage in can, bottle, pouch e.g. Hard Tea, Hard Soda, Ready to drink cocktail (excluding Hard Seltzer)",,4,Multi punch
S8_Nonalco,"In the past 30 days, did you drink…? ",Non-alcoholic Beer,,5,Multi punch
S8_HardSeltzer,"In the past 30 days, did you drink…? ",Hard Seltzer (e.g. Spiked sparkling water with a hint of flavor),,6,Multi punch
S8_Specialty,"In the past 30 days, did you drink…? ",Specialty Cocktail with multiple ingredients ,,7,Multi punch
S8_Anydistilled,"In the past 30 days, did you drink…? ",Any distilled spirit (either alone or in mixed drink),,8,Multi punch
P30D_Alcohol,"In the past 30 days, did you drink…? ",,,,
S9_Beer,"In the past 7 days, did you drink…? ",Beer,,1,Multi punch
S9_Wineany,"In the past 7 days, did you drink…? ","Wine (any type red, white, rosé) or Champagne",,2,Multi punch
S9_HardCider,"In the past 7 days, did you drink…? ",Hard Cider,,3,Multi punch
S9_ReadytoDrink,"In the past 7 days, did you drink…? ","Ready to Drink / Premixed Alcoholic Beverage in can, bottle, pouch e.g. Hard Tea, Hard Soda, Ready to drink cocktail (excluding Hard Seltzer)",,4,Multi punch
S9_Nonalco,"In the past 7 days, did you drink…? ",Non-alcoholic Beer,,5,Multi punch
S9_HardSeltzer,"In the past 7 days, did you drink…? ",Hard Seltzer (e.g. Spiked sparkling water with a hint of flavor),,6,Multi punch
S9_Specialty,"In the past 7 days, did you drink…? ",Specialty Cocktail with multiple ingredients ,,7,Multi punch
S9_Anydistilled,"In the past 7 days, did you drink…? ",Any distilled spirit (either alone or in mixed drink),,8,Multi punch
DeepDive_Qualify,"In the past 7 days, did you drink…? ",,,,
A1Order,"In the past 7 days, did you drink…? ",,,,
A1_A1_1,Lifestyle attitudes ,A college education is essential to success,A college education is not essential to success,"1,2,3,4",Slider scale with statement pairs
A1_A1_2,Lifestyle attitudes ,I prefer to spend money on experiences,I prefer to spend money on physical items,"1,2,3,4",Slider scale with statement pairs
A1_A1_3,Lifestyle attitudes ,"I love exploring new restaurants, pubs, bars, and clubs",I prefer to go to pubs or clubs that I know and like,"1,2,3,4",Slider scale with statement pairs
A1_A1_4,Lifestyle attitudes ,I like to blend in with the crowd,I like to stand out,"1,2,3,4",Slider scale with statement pairs
A1_A1_5,Lifestyle attitudes ,I feel financially secure,I worry about money,"1,2,3,4",Slider scale with statement pairs
A1_A1_6,Lifestyle attitudes ,I often make decisions that prioritize my health,I do not let health get in the way of what I want to do,"1,2,3,4",Slider scale with statement pairs
A1_A1_7,Lifestyle attitudes ,I feel that American culture is what matters the most,It is important to celebrate all cultures,"1,2,3,4",Slider scale with statement pairs
